2025/10/07 02:10:03.216673 [INFO] Log Publish not set, skipping...
2025/10/07 02:30:01.275462 [INFO] Log Publish not set, skipping...
2025/10/07 02:50:01.304088 [INFO] Log Publish not set, skipping...
2025/10/07 03:10:01.866297 [INFO] Log Publish not set, skipping...
2025/10/07 03:30:01.915729 [INFO] Log Publish not set, skipping...
2025/10/07 03:50:01.962179 [INFO] Log Publish not set, skipping...
2025/10/07 04:10:01.376183 [INFO] Log Publish not set, skipping...
2025/10/07 04:30:01.426944 [INFO] Log Publish not set, skipping...
2025/10/07 04:50:01.463509 [INFO] Log Publish not set, skipping...
2025/10/07 05:10:01.766356 [INFO] Log Publish not set, skipping...
2025/10/07 05:30:01.799389 [INFO] Log Publish not set, skipping...
2025/10/07 05:50:01.868651 [INFO] Log Publish not set, skipping...
2025/10/07 06:10:01.204582 [INFO] Log Publish not set, skipping...
2025/10/07 06:30:01.230593 [INFO] Log Publish not set, skipping...
2025/10/07 06:50:01.256393 [INFO] Log Publish not set, skipping...
2025/10/07 07:10:01.693173 [INFO] Log Publish not set, skipping...
2025/10/07 07:30:01.725764 [INFO] Log Publish not set, skipping...
2025/10/07 07:50:01.759013 [INFO] Log Publish not set, skipping...
2025/10/07 08:10:02.020592 [INFO] Log Publish not set, skipping...
2025/10/07 08:30:01.041646 [INFO] Log Publish not set, skipping...
2025/10/07 08:50:01.056813 [INFO] Log Publish not set, skipping...
2025/10/07 09:10:01.200536 [INFO] Log Publish not set, skipping...
2025/10/07 09:30:01.226292 [INFO] Log Publish not set, skipping...
2025/10/07 09:50:01.265396 [INFO] Log Publish not set, skipping...
2025/10/07 10:10:01.599678 [INFO] Log Publish not set, skipping...
2025/10/07 10:30:01.646934 [INFO] Log Publish not set, skipping...
2025/10/07 10:50:01.679509 [INFO] Log Publish not set, skipping...
2025/10/07 11:10:02.029596 [INFO] Log Publish not set, skipping...
2025/10/07 11:30:01.076505 [INFO] Log Publish not set, skipping...
2025/10/07 11:50:01.091411 [INFO] Log Publish not set, skipping...
2025/10/07 12:10:01.309961 [INFO] Log Publish not set, skipping...
2025/10/07 12:30:01.356540 [INFO] Log Publish not set, skipping...
2025/10/07 12:50:01.423662 [INFO] Log Publish not set, skipping...
2025/10/07 13:10:01.993953 [INFO] Log Publish not set, skipping...
2025/10/07 13:30:01.020928 [INFO] Log Publish not set, skipping...
2025/10/07 13:50:01.035978 [INFO] Log Publish not set, skipping...
2025/10/07 14:10:01.204765 [INFO] Log Publish not set, skipping...
2025/10/07 14:30:01.227984 [INFO] Log Publish not set, skipping...
2025/10/07 14:50:01.253716 [INFO] Log Publish not set, skipping...
2025/10/07 15:10:01.564700 [INFO] Log Publish not set, skipping...
2025/10/07 15:30:01.594042 [INFO] Log Publish not set, skipping...
2025/10/07 15:50:01.614122 [INFO] Log Publish not set, skipping...
2025/10/07 16:10:01.059641 [INFO] Log Publish not set, skipping...
2025/10/07 16:30:01.086604 [INFO] Log Publish not set, skipping...
2025/10/07 16:50:01.104911 [INFO] Log Publish not set, skipping...
2025/10/07 17:10:01.365019 [INFO] Log Publish not set, skipping...
2025/10/07 17:30:01.385346 [INFO] Log Publish not set, skipping...
2025/10/07 17:50:01.457226 [INFO] Log Publish not set, skipping...
2025/10/07 18:10:01.874217 [INFO] Log Publish not set, skipping...
2025/10/07 18:30:01.928988 [INFO] Log Publish not set, skipping...
2025/10/07 18:50:01.955246 [INFO] Log Publish not set, skipping...
2025/10/07 19:10:01.274646 [INFO] Log Publish not set, skipping...
2025/10/07 19:30:01.306520 [INFO] Log Publish not set, skipping...
2025/10/07 19:50:01.347559 [INFO] Log Publish not set, skipping...
2025/10/07 20:10:01.649957 [INFO] Log Publish not set, skipping...
2025/10/07 20:30:01.697132 [INFO] Log Publish not set, skipping...
2025/10/07 20:50:01.722537 [INFO] Log Publish not set, skipping...
2025/10/07 21:10:01.081505 [INFO] Log Publish not set, skipping...
2025/10/07 21:30:01.152398 [INFO] Log Publish not set, skipping...
2025/10/07 21:50:01.206883 [INFO] Log Publish not set, skipping...
2025/10/07 22:10:01.478599 [INFO] Log Publish not set, skipping...
