66.240.205.34 - - [07/Oct/2025:02:40:13 +0000] "Gh0st\xAD\x00\x00\x00\xE0\x00\x00\x00x\x9CKS``\x98\xC3\xC0\xC0\xC0\x06\xC4\x8C@\xBCQ\x96\x81\x81\x09H\x07\xA7\x16\x95e&\xA7*\x04$&g+\x182\x94\xF6\xB000\xAC\xA8rc\x00\x01\x11\xA0\x82\x1F\x5C`&\x83\xC7K7\x86\x19\xE5n\x0C9\x95n\x0C;\x84\x0F3\xAC\xE8sch\xA8^\xCF4'J\x97\xA9\x82\xE30\xC3\x91h]&\x90\xF8\xCE\x97S\xCBA4L?2=\xE1\xC4\x92\x86\x0B@\xF5`\x0CT\x1F\xAE\xAF]" 400 150 "-" "-" "-"
68.129.98.99 - - [07/Oct/2025:02:41:04 +0000] "GET / HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:41:04 +0000] "GET /favicon.ico HTTP/1.1" 404 179 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:41:10 +0000] "GET / HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:43:26 +0000] "GET / HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:43:40 +0000] "GET /health/ HTTP/1.1" 200 21 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:43:54 +0000] "GET /api/restaurants/ HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:43:57 +0000] "GET /api/restaurants/ HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:13 +0000] "GET / HTTP/1.1" 200 400 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:13 +0000] "GET /assets/index-Bo8_gSxg.css HTTP/1.1" 200 2408 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:14 +0000] "GET /assets/index-CkNa97w_.js HTTP/1.1" 200 196495 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:20 +0000] "GET /api/restaurants/search/?q=pizza HTTP/1.1" 200 52 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:26 +0000] "GET /api/restaurants/search/?q=Starbucks HTTP/1.1" 200 52 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:49:45 +0000] "GET /api/restaurants/search/?q=Chipotle HTTP/1.1" 200 52 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:50:07 +0000] "GET /health/ HTTP/1.1" 200 21 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
204.76.203.219 - - [07/Oct/2025:02:50:13 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
68.129.98.99 - - [07/Oct/2025:02:50:14 +0000] "GET /api/restaurants/ HTTP/1.1" 200 400 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:50:25 +0000] "GET /api/restaurants/search/?q=Starbucks HTTP/1.1" 200 52 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/api/restaurants/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:59:00 +0000] "GET /api/restaurants/search/?q=chinese HTTP/1.1" 200 5538 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:59:04 +0000] "GET /api/restaurants/search/?q=pizza HTTP/1.1" 200 4995 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:02:59:16 +0000] "GET /api/restaurants/search/?q=chine HTTP/1.1" 200 5827 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
54.145.53.210 - - [07/Oct/2025:03:00:19 +0000] "GET / HTTP/1.1" 200 400 "-" "Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)" "-"
54.159.67.3 - - [07/Oct/2025:03:00:19 +0000] "GET /favicon.ico HTTP/1.1" 200 400 "-" "Slackbot 1.0 (+https://api.slack.com/robots)" "-"
68.129.98.99 - - [07/Oct/2025:03:00:28 +0000] "GET /api/restaurants/search/?q=burritos HTTP/1.1" 200 242 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
68.129.98.99 - - [07/Oct/2025:03:00:32 +0000] "GET /api/restaurants/search/?q=Mexican HTTP/1.1" 200 6378 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0" "-"
87.121.84.17 - - [07/Oct/2025:03:10:15 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
43.159.145.153 - - [07/Oct/2025:03:24:44 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
